                * c:\users\vansh\esim-workspace\opamp\opamp.cir
                Transient Analysis  Sat Oct 08 21:44:16  2022
--------------------------------------------------------------------------------
Index   time            v1#branch       v2#branch       v3#branch       
--------------------------------------------------------------------------------
0	0.000000e+00	0.000000e+00	0.000000e+00	-1.35414e-11	
1	1.000000e-06	7.014831e-18	1.927315e-17	-1.35414e-11	
2	2.000000e-06	4.720297e-18	1.287163e-17	-1.35414e-11	
3	4.000000e-06	7.438899e-18	2.044478e-17	-1.35414e-11	
4	8.000000e-06	4.947280e-19	1.070355e-18	-1.35414e-11	
5	1.600000e-05	6.655795e-18	1.823304e-17	-1.35415e-11	
6	3.200000e-05	2.231152e-18	5.851083e-18	-1.35414e-11	
7	6.400000e-05	-1.71930e-18	-5.16264e-18	-1.35415e-11	
8	1.000000e-04	-5.29854e-19	-1.81195e-18	-1.35415e-11	
9	1.064000e-04	1.748013e-14	-5.43918e-14	-1.35328e-11	
10	1.192000e-04	1.655201e-14	-5.71108e-14	-1.35278e-11	
11	1.448000e-04	1.485536e-14	-6.20747e-14	-1.35186e-11	
12	1.960000e-04	1.198389e-14	-7.04201e-14	-1.35032e-11	
13	2.984000e-04	7.808032e-15	-8.23941e-14	-1.34812e-11	
14	5.032000e-04	3.259345e-15	-9.49870e-14	-1.34579e-11	
15	9.128000e-04	4.064248e-16	-1.01971e-13	-1.34442e-11	
16	1.732000e-03	-5.56063e-17	-1.01678e-13	-1.34432e-11	
17	2.732000e-03	-2.74157e-17	-1.00434e-13	-1.34437e-11	
18	3.732000e-03	-5.54434e-17	-9.93340e-14	-1.34443e-11	
19	4.732000e-03	-4.85108e-17	-9.81054e-14	-1.34452e-11	
20	5.732000e-03	-5.89835e-17	-9.68758e-14	-1.34462e-11	
21	6.732000e-03	-5.58129e-17	-9.55900e-14	-1.34474e-11	
22	7.732000e-03	-6.23050e-17	-9.42855e-14	-1.34485e-11	
23	8.732000e-03	-5.95737e-17	-9.29455e-14	-1.34497e-11	
24	9.732000e-03	-6.35547e-17	-9.15885e-14	-1.34510e-11	
25	1.073200e-02	-6.29100e-17	-9.02175e-14	-1.34522e-11	
26	1.173200e-02	-6.50020e-17	-8.88298e-14	-1.34537e-11	
27	1.273200e-02	-6.34987e-17	-8.74414e-14	-1.34550e-11	
28	1.373200e-02	-6.38651e-17	-8.60446e-14	-1.34563e-11	
29	1.473200e-02	-6.49197e-17	-8.46661e-14	-1.34577e-11	
30	1.573200e-02	-6.22577e-17	-8.32755e-14	-1.34590e-11	
31	1.673200e-02	-6.30698e-17	-8.19185e-14	-1.34604e-11	
32	1.773200e-02	-6.31344e-17	-8.05626e-14	-1.34617e-11	
33	1.873200e-02	-6.06285e-17	-7.92344e-14	-1.34629e-11	
34	1.973200e-02	-5.99992e-17	-7.79195e-14	-1.34642e-11	
35	2.073200e-02	-5.77833e-17	-7.66392e-14	-1.34654e-11	
36	2.173200e-02	-5.92885e-17	-7.53803e-14	-1.34666e-11	
37	2.273200e-02	-5.47151e-17	-7.41509e-14	-1.34679e-11	
38	2.373200e-02	-5.62462e-17	-7.29510e-14	-1.34691e-11	
39	2.473200e-02	-5.24734e-17	-7.17840e-14	-1.34702e-11	
40	2.573200e-02	-5.42703e-17	-7.06473e-14	-1.34714e-11	
41	2.673200e-02	-4.92146e-17	-6.95420e-14	-1.34724e-11	
42	2.773200e-02	-4.87324e-17	-6.84661e-14	-1.34735e-11	
43	2.873200e-02	-4.68620e-17	-6.74314e-14	-1.34745e-11	
44	2.973200e-02	-4.69284e-17	-6.64207e-14	-1.34755e-11	
45	3.073200e-02	-4.34797e-17	-6.54472e-14	-1.34764e-11	
46	3.173200e-02	-4.54871e-17	-6.45029e-14	-1.34774e-11	
47	3.273200e-02	-3.91364e-17	-6.35865e-14	-1.34784e-11	
48	3.373200e-02	-4.28390e-17	-6.27058e-14	-1.34792e-11	
49	3.473200e-02	-3.63529e-17	-6.18482e-14	-1.34800e-11	
50	3.573200e-02	-3.93467e-17	-6.10239e-14	-1.34809e-11	
51	3.673200e-02	-3.53097e-17	-6.02260e-14	-1.34817e-11	
52	3.773200e-02	-3.59384e-17	-5.94520e-14	-1.34824e-11	
53	3.873200e-02	-3.38118e-17	-5.87094e-14	-1.34832e-11	
54	3.973200e-02	-3.41349e-17	-5.79853e-14	-1.34839e-11	

Index   time            v1#branch       v2#branch       v3#branch       
--------------------------------------------------------------------------------
55	4.073200e-02	-3.07623e-17	-5.72895e-14	-1.34845e-11	
56	4.173200e-02	-3.17211e-17	-5.66134e-14	-1.34853e-11	
57	4.273200e-02	-2.85809e-17	-5.59631e-14	-1.34859e-11	
58	4.373200e-02	-3.00839e-17	-5.53311e-14	-1.34865e-11	
59	4.473200e-02	-2.61781e-17	-5.47214e-14	-1.34871e-11	
60	4.573200e-02	-2.91019e-17	-5.41315e-14	-1.34878e-11	
61	4.673200e-02	-2.46998e-17	-5.35596e-14	-1.34883e-11	
62	4.773200e-02	-2.52246e-17	-5.30036e-14	-1.34889e-11	
63	4.873200e-02	-2.40423e-17	-5.24717e-14	-1.34894e-11	
64	4.973200e-02	-2.50173e-17	-5.19501e-14	-1.34900e-11	
65	5.073200e-02	-2.25717e-17	-5.14493e-14	-1.34904e-11	
66	5.173200e-02	-2.11590e-17	-5.09563e-14	-1.34910e-11	
67	5.273200e-02	-2.20471e-17	-5.04901e-14	-1.34914e-11	
68	5.373200e-02	-2.15055e-17	-5.00270e-14	-1.34918e-11	
69	5.473200e-02	-1.93027e-17	-4.95849e-14	-1.34922e-11	
